Country,Total Cases,Population,"Confirmed Case per 10,000 population"
Sint Maarten,"11,010","43,966",2504.207797
Eritrea,"10,189","3,662,244",27.82173989
Niger,"9,931","26,083,660",3.807364457
St. Vincent Grenadines,"9,585","111,551",859.2482362
Antigua and Barbuda,"9,106","99,509",915.0931072
Comoros,"8,992","907,419",99.09424422
Guinea-Bissau,"8,947","2,063,367",43.36116648
Liberia,"8,062","5,305,117",15.19664882
Sierra Leone,"7,760","8,306,436",9.342153482
Chad,"7,652","17,413,580",4.394271597
British Virgin Islands,"7,305","30,596",2387.567002
Cook Islands,"7,011","17,571",3990.097319
Saint Kitts and Nevis,"6,592","53,871",1223.663938
Turks and Caicos,"6,522","39,741",1641.126293
Sao Tome and Principe,"6,280","227,679",275.8269318
Palau,"5,986","18,233",3283.058191
St. Barth,"5,420","9,945",5449.974862
Kiribati,"5,008","123,419",405.7722069
Nauru,"4,621","10,903",4238.283041
Anguilla,"3,904","15,230",2563.361786
Macao,"3,488","667,490",52.2554645
Saint Pierre Miquelon,"3,452","5,759",5994.096197
Wallis and Futuna,"3,427","10,982",3120.560918
Tuvalu,"2,805","12,066",2324.714073
Saint Helena,"2,166","6,115",3542.109567
Falkland Islands,"1,930","3,539",5453.517943
Montserrat,"1,403","4,965",2825.780463
Niue,747,"1,622",4605.425401
Vatican City,29,799,362.9536921
Western Sahara,10,"626,161",0.159703335
Tokelau,5,"1,378",36.28447025
